n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
64,1.24532,0.169375,1.13814,1.1513,1.16843,1.24801,1.7958
128,8.90282,0.458641,8.39,8.60025,8.78074,9.00876,10.4002
256,62.3166,1.41167,60.2404,61.3445,62.0752,62.8907,66.1147
512,441.728,14.6809,427.767,433.195,437.458,443.452,499.177
