n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
64,1.68701,0.383097,1.42421,1.46557,1.53431,1.76257,3.24405
128,12.7331,0.847767,11.7264,12.0873,12.544,12.9604,15.4753
256,98.3344,2.718,95.1208,96.4782,97.482,99.1856,106.232
512,911.414,33.5232,860.334,889.416,900.634,919.786,1017.39
