n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
64,1.68853,0.255958,1.50659,1.54832,1.58548,1.69688,2.69949
128,12.3809,0.379066,11.7393,12.1231,12.3254,12.5637,13.3391
256,97.0036,1.96065,94.2242,95.6867,96.749,98.116,101.828
512,895.857,30.5979,862.674,877.62,888.324,904.361,1000.78
