n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
64,46.7914,3.07823,41.828,43.8582,47.2103,48.9681,53.5842
128,329.356,14.0324,311.916,320.084,326.438,335.632,372.393
256,2309.82,111.981,2152.96,2216.78,2302.91,2408.62,2546.66
512,15696.9,614.42,14890.5,15237,15401.1,16055.1,17000.8
