n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
64,1.56019,0.181749,1.42884,1.47015,1.49215,1.58171,2.39176
128,11.8376,0.433966,11.2843,11.5693,11.702,12.0598,12.9026
256,102.341,6.95202,91.9366,96.4272,101.913,106.868,115.352
512,909.544,47.1323,865.852,878.93,896.262,924.011,1083.71
