n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
64,44.3091,2.11917,41.7803,43.0501,43.7881,45.0099,51.5979
128,302.235,3.93798,295.943,299.271,301.714,305.214,310.238
256,2117.89,35.1888,2066.02,2089.42,2124.2,2140.01,2218.72
512,14972.9,369.016,14440.3,14760.7,14887.4,14996.3,16118.2
