n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
64,1.5981,0.225029,1.46033,1.49399,1.51675,1.61492,2.62776
128,11.7742,0.330389,11.2941,11.4867,11.76,12.0224,12.3951
256,98.5994,10.2877,90.4005,93.8511,94.979,97.6002,131.285
512,895.147,29.7875,850.51,873.415,890.251,904.433,961.766
