n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
64,1.26139,0.339777,1.12569,1.13872,1.15573,1.20794,3.00566
128,8.53575,0.289547,8.24938,8.35891,8.44728,8.54842,9.47442
256,62.3818,1.23373,60.0457,61.6934,62.3128,62.9698,65.1364
512,446.75,8.79185,435.829,440.729,443.196,456.172,462.984
