n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
64,44.5471,2.71495,42.4083,43.3216,43.7845,45.05,58.2237
128,310.227,8.54573,298.762,304.52,307.012,315.126,335.412
256,2168.28,55.851,2107.63,2132.35,2153.22,2176.54,2339.86
512,15289.8,254.626,14938.8,15110.2,15215.3,15396.1,15885.3
