n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
64,1.17999,0.07825,1.11807,1.12961,1.14444,1.20397,1.46344
128,8.5032,0.347062,8.01595,8.2056,8.45316,8.75462,9.3503
256,62.16,4.06591,59.223,59.9617,60.8801,62.9522,80.8119
512,440.343,10.5513,426.499,431.495,439.199,448.742,460.946
