n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
64,42.4076,1.44659,40.3365,41.5902,42.139,42.9539,46.7602
128,295.949,5.62641,288.152,292.053,294.532,298.757,314.281
256,2108.38,110.178,2042.52,2061.5,2079.36,2102.27,2644.79
512,15333,1748.85,14366.6,14547.2,14627.2,14836.2,20671.4
